date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead,adding
2020-05-10,中国,CN,None,None,None,None,84435,4,79510,4643,19
2020-05-10,中国,CN,湖北,420000.0,None,None,68129,0,63616,4512,1
2020-05-10,中国,CN,广东,440000.0,None,None,1589,0,1576,8,0
2020-05-10,中国,CN,河南,410000.0,None,None,1276,0,1254,22,0
2020-05-10,中国,CN,浙江,330000.0,None,None,1268,0,1267,1,0
2020-05-10,中国,CN,香港,810000.0,None,None,1047,0,982,4,3
2020-05-10,中国,CN,湖南,430000.0,None,None,1019,0,1015,4,0
2020-05-10,中国,CN,安徽,340000.0,None,None,991,0,985,6,0
2020-05-10,中国,CN,黑龙江,230000.0,None,None,945,0,891,13,1
2020-05-10,中国,CN,江西,360000.0,None,None,937,0,936,1,0
2020-05-10,中国,CN,山东,370000.0,None,None,788,0,776,7,0
2020-05-10,中国,CN,上海,310000.0,None,None,659,0,626,7,2
2020-05-10,中国,CN,江苏,320000.0,None,None,653,0,652,0,0
2020-05-10,中国,CN,北京,110000.0,None,None,593,0,565,9,0
2020-05-10,中国,CN,重庆,500000.0,None,None,579,0,573,6,0
2020-05-10,中国,CN,四川,510000.0,None,None,561,0,558,3,0
2020-05-10,中国,CN,台湾,710000.0,None,None,440,0,366,6,0
2020-05-10,中国,CN,福建,350000.0,None,None,356,0,354,1,0
2020-05-10,中国,CN,河北,130000.0,None,None,328,0,321,6,0
2020-05-10,中国,CN,陕西,610000.0,None,None,308,0,293,3,0
2020-05-10,中国,CN,广西,450000.0,None,None,254,0,252,2,0
2020-05-10,中国,CN,内蒙古,150000.0,None,None,201,0,184,1,0
2020-05-10,中国,CN,山西,140000.0,None,None,198,0,197,0,0
2020-05-10,中国,CN,天津,120000.0,None,None,191,0,186,3,0
2020-05-10,中国,CN,云南,530000.0,None,None,185,0,183,2,0
2020-05-10,中国,CN,海南,460000.0,None,None,168,0,162,6,0
2020-05-10,中国,CN,贵州,520000.0,None,None,147,0,145,2,0
2020-05-10,中国,CN,辽宁,210000.0,None,None,147,0,144,2,1
2020-05-10,中国,CN,甘肃,620000.0,None,None,139,0,137,2,0
2020-05-10,中国,CN,吉林,220000.0,None,None,124,0,105,1,11
2020-05-10,中国,CN,新疆,650000.0,None,None,76,0,73,3,0
2020-05-10,中国,CN,宁夏,640000.0,None,None,75,0,75,0,0
2020-05-10,中国,CN,澳门,820000.0,None,None,45,0,41,0,0
2020-05-10,中国,CN,青海,630000.0,None,None,18,0,18,0,0
2020-05-10,中国,CN,西藏,540000.0,None,None,1,0,1,0,0
